네타하 윈드워커
레하이아 발렌시아
디테프로 실버리프
세포넵 아이언하트
카테헤 블랙우드
에리시아 선블레이즈
네메시 섀도우캐스터
이리셀 나이트폴
셀레나에 프로스트번
포베 라이트브링어
티아미스 레이븐로프트
레아이아 골드버그
레타 펜드래건
디오네아 아발론
마이아스 에델가르드
아스테리아 하이윈드
에오시라 블러드레인
닉셀 보이드워커
헤메라아 스타게이저
스티사 윈터펠
레테이아 서머홀
아케로니스 데스위스퍼
키벨레 엠버글로우
에뇨아 워해머
판도라이아 미스릴암
에우리아 스톰레이지
메두사에 스네이크아이
스테노아 스톤게이즈
키르세아 위치본
칼립소아 오션스트라이더
나우시카 스카이워커
아리아나에 메이즈런너
다프네아 로렐라이
갈라테이아 아이보리
에코이스 위스퍼윈드
나르시사 미러풀
프시케아 소울바인더
유로피아 불카누스
이오아나 제피로스
레다이아 스완네스트
세멜레아 썬더볼트
다나에아 골든샤워
알크메네아 헤라클레스
안티오파 아마조네스
이오카스타 오이디푸스
파이드라이아 크레타
엘렉타라 아가멤논
이피겐 타우리스
카산드라이아 트로이
안드로메다 에티오피아
아탈란타 아르카디아
옴팔레아 리디아
데이아니라 칼리돈
헤베이아 올림푸스
하모니아 테베
헬레아 헬레스폰트
클리템 미케네
페넬로페이아 이타카
야프레 아이스본
누이드 켈틱하트
카디스 브리튼
키리엘 란슬롯
그루신 모건
게르디아 오딘도터
시펠 프레이야
난나이아 발데르
헬리아 로키슨
솔라라 태양거인
마니아 달그림자
다그니 데이라이트
노티아 나이트메어
에이라이아 힐링터치
풀라스 가디언
흘리나 프로텍터
그나이아 메신저
린다라 소프트풋
베스트라이아 이스트워드
요르델 미드가르드
프리쟈 아스가르드
스쿨드 퓨처위버
베르단디 프레젠트
우르드 패스트캐스터
굴베이그 골드리스트
헤이드라 위치크래프트
에이라 메디슨
바라 서약자
신나 문지기
로프나 러브바인더
쇼픈 패션
보라 인텔리전트
게피온 플로맨
시귄 페이스풀
스루드 스트렝스
흘로크 배틀크라이
골 노이즈메이커
곤둘 완드윌더
스코굴 랜스위더
헤르야 호스트
게이라브 스피어
란드그리드 쉴드
미스텔 미슬토
레긴레 헤리티지
스반힐드 백조
브륀힐드 발키리
크림힐드 버건디
구드룬 니벨룽
이솔데아 아일랜드
시그리다 빅토리
잉그리드 뷰티
아스트리다 스타
군힐다 워
우르술라 베어
에리카 헤더
올가이아 홀리
헬가 세인트
스반힐다 레이크
발다 룰러
시가리아 실버
가나르모 메일
비레누 에로우
뮤엔 하프
비비안느 레이크
엘레이네아 화이트
에니델 블러드
이세울트 골드
모르가우 다크
이그레인 노블
브리세이스 아킬레스
에포나라 호스
다누아 마더
모리하 팬텀
마카라 배틀
바드바 크로우
네메인 패닉
아이네아 노블레스
에리우이아 그린
반바라 옐로우
포드라라 레드
브리기다 파이어
술레비아 스프링
코벤티아 리버
난토수에 밸리
로스메르타 어번던스
시로나 힐
에포나 포니
다마라 로터스
마트로나 그레이트
아르티오 베어캣
아브노바 포레스트
시시 매직
타벳 오컬트
이텐 스카이
하토르 카우
무텔 벌쳐
세크메트 라이오네스
테프누트 레인
누티아 코스모스
게비아 어스
네프티스 데드
아누키아 나일
사티스 카타르
마아텔 저스티스
아무네트 히든
카우켓 다크니스
나우네트 워터
하우헷 인피니티
세샤트 라이팅
레네트 럭
메스켄 버스
타와레트 하마
헤켓 프로그
셀켓 스콜피온
안풋 자칼
케베켓 스네이크
아멘텟 웨스트
이우닛 유니트
테넷 가이드
라타우이 어시스트
티릴 플라워
비이 허니비
멜로사 멜로디
에스테라 모닝스타
유디티아 쥬얼
라켈라 램
레아이아 가든
미리암 비터
데보라 비
기데오나 브레이브
사무엘라 히어
사울라 에스크
다비나 벨러브드
솔로모니아 피스
이사벨라 퓨어
베아트릭사 보이저
카테리나 클린
엘레아노라 라이트
마가렛 펄
줄리안나 영
아델라이아 카인드
기셀라 플레지
마틸다 마이티
베르타 브라이트
클로틸다 라우드
힐데가르 헬멧
브룬힐드 아머
프레데군드 피스풀
테오도라 기프트
이레네이아 피스메이커
조이아 라이프
안나이아 그레이스
마리아 씨
루시아 루시드
아그네사 램
세실리아 블라인드
바르바라 스트레인저
우르술라 리틀베어
모니카 어드바이저
아가타 굿
도로테아 갓
테레사 하베스트
마르타 레이디
막달렌 타워
베로니카 아이콘
리타리아 펄
클라리아 브라이트너
프란시스카 프리
알로이시아 파이터
이그나티아 파이어리
자비에라 뉴하우스
발레리아 스트롱
마리나 마린
플라비아 골든
줄리아나 소프트
리비아 퍼플
옥타비아 에이트
클라우디아 엔클로저
엘라라 달
라이라 리라
세라피나 버닝
아우렐리아 골드피쉬
엘로웬 느릅나무
이솔드 페어
베스페라 이브닝
루미나 루미너스
셀레스티아 헤븐
엘리시아 낙원
에델 고귀
실바나 숲
로웨나 명성
모르웬나 파도
아르웨니아 로열
갈라드라 미러
에오위나 홀스
루티엔 나이팅게일
아라리엘 라이트
미리에라 쥬얼
니메리아 다이어울프
비세냐 드래곤
라에니라 파이어
대너리 본
산사이라 울프
아리에라 니들
카텔린 튜립
브리엔 사파이어
멜리산드 레드
이그리타 프리
탈리아 블루
칼리에 로즈
제나이아 워리어
가브릴라 엔젤
제나 공주
유나 럭키
리노아 하트
에리스 불화
티파이아 록
퀴스티스 채찍
셀피 셀카
에데아 마녀
얼티메시아 타임
리디아 소환사
